CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,Asset,QBFDEP,RESTYPE,RESTYPE1,SAVR,AssetinBil
16579,NM,"JACKSONVILLE, FL",54383,1/27/2012,10421,3986,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,"397,082.00",378309,FAILURE,PA,DIF,0.397082
19869,SM,"KNOXVILLE, TN",74064,1/27/2012,10420,3987,BANKEAST,"261,947.00",259571,FAILURE,PA,DIF,0.261947
34823,NM,"FOREST LAKE, MN",35346,1/27/2012,10422,3988,PATRIOT BANK MINNESOTA,"105,029.00",102833,FAILURE,PA,DIF,0.105029
35296,NM,"FRANKLIN, TN",351815,1/27/2012,10423,3989,TENNESSEE COMMERCE BANK,"1,009,154.00",1037716,FAILURE,PA,DIF,1.009154
19252,NM,"STOCKBRIDGE, GA",192145,1/20/2012,10419,3983,THE FIRST STATE BANK,"516,760.00",509065,FAILURE,PA,DIF,0.51676
31581,SB,"BOOTHWYN, PA",4671,1/20/2012,10417,3984,AMERICAN EAGLE SAVINGS BANK,"19,259.00",17548,FAILURE,PA,DIF,0.019259
57186,NM,"BELLEVIEW, FL",13697,1/20/2012,10418,3985,CENTRAL FLORIDA STATE BANK,"71,485.00",71080,FAILURE,PA,DIF,0.071485
57917,N,"PHOENIX, AZ",41735,12/16/2011,10416,3981,WESTERN NATIONAL BANK,"162,872.00",144491,FAILURE,PA,DIF,0.162872
58343,NM,"CRESTVIEW, FL",25065,12/16/2011,10415,3982,PREMIER COMMUNITY BANK OF THE EMERALD COAST,"125,976.00",112050,FAILURE,PA,DIF,0.125976
14194,NM,"JOHNSTON, IA",16053,11/18/2011,10414,3979,POLK COUNTY BANK,"91,580.00",81967,FAILURE,PA,DIF,0.09158
19657,NM,"LACOMBE, LA",48824,11/18/2011,10413,3980,CENTRAL PROGRESSIVE BANK,"383,132.00",347720,FAILURE,PA,DIF,0.383132
57860,NM,"ROCKMART, GA",20376,11/10/2011,10412,3978,COMMUNITY BANK OF ROCKMART,"62,383.00",55906,FAILURE,PA,DIF,0.062383
19397,NM,"OMAHA, NE",10944,11/4/2011,10410,3976,"MID CITY BANK, INC.","106,075.00",105461,FAILURE,PA,DIF,0.106075
57087,NM,"SAINT GEORGE, UT",43575,11/4/2011,10411,3977,SUNFIRST BANK,"198,081.00",169135,FAILURE,PA,DIF,0.198081
57759,NM,"DES PLAINES, IL",13753,10/28/2011,10409,3975,ALL AMERICAN BANK,"34,800.00",30542,FAILURE,PA,DIF,0.0348
21132,SM,"GREENWOOD VILLAGE, CO",169247,10/21/2011,10405,3971,COMMUNITY BANKS OF COLORADO,"1,280,964.00",1239630,FAILURE,PA,DIF,1.280964
34392,NM,"DECATUR, GA",24568,10/21/2011,10407,3972,DECATUR FIRST BANK,"184,750.00",172042,FAILURE,PA,DIF,0.18475
57036,NM,"JONESBORO, GA",64965,10/21/2011,10406,3973,COMMUNITY CAPITAL BANK,"165,291.00",157808,FAILURE,PA,DIF,0.165291
57537,NM,"CLEARWATER, FL",26299,10/21/2011,10408,3974,OLD HARBOR BANK,"209,048.00",212184,FAILURE,PA,DIF,0.209048
32347,SI,"ASHEVILLE, NC",44112,10/14/2011,10401,3967,"BLUE RIDGE SAVINGS BANK, INC.","161,430.00",159628,FAILURE,PA,DIF,0.16143
35395,NM,"ALEDO, IL",69574,10/14/2011,10402,3968,COUNTRY BANK,"195,034.00",180835,FAILURE,PA,DIF,0.195034
57256,NM,"GRAY, GA",88194,10/14/2011,10404,3969,PIEDMONT COMMUNITY BANK,"198,993.00",178773,FAILURE,PA,DIF,0.198993
58046,NM,"CRANFORD, NJ",45629,10/14/2011,10403,3970,FIRST STATE BANK,"191,852.00",188099,FAILURE,PA,DIF,0.191852
10216,NM,"WYOMING, MN",71176,10/7/2011,10399,3965,THE RIVERBANK,"419,723.00",384120,FAILURE,PA,DIF,0.419723
20115,NM,"ELLINGTON, MO",93109,10/7/2011,10400,3966,SUN SECURITY BANK,"351,492.00",280649,FAILURE,PA,DIF,0.351492
33513,NM,"PLANO, TX",58022,9/30/2011,10398,3964,FIRST INTERNATIONAL BANK,"239,916.00",208775,FAILURE,PA,DIF,0.239916
20408,SM,"NORFOLK, VA",239166,9/23/2011,10396,3962,BANK OF THE COMMONWEALTH,"985,096.00",901845,FAILURE,PA,DIF,0.985096
33983,NM,"NEVADA CITY, CA",40895,9/23/2011,10397,3963,CITIZENS BANK OF NORTHERN CALIFORNIA,"288,765.00",253079,FAILURE,PA,DIF,0.288765
25155,N,"MILTON, FL",75749,9/9/2011,10395,3961,THE FIRST NATIONAL BANK OF FLORIDA,"296,841.00",280095,FAILURE,PA,DIF,0.296841
58226,NM,"WOODSTOCK, GA",33845,9/2/2011,10393,3959,CREEKSIDE BANK,"102,338.00",96583,FAILURE,PA,DIF,0.102338
58273,NM,"CUMMING, GA",54248,9/2/2011,10394,3960,PATRIOT BANK OF GEORGIA,"150,751.00",140612,FAILURE,PA,DIF,0.150751
35356,SB,"PALM BEACH, FL",187521,8/19/2011,10392,3956,LYDIAN PRIVATE BANK,"1,700,117.00",1253835,FAILURE,PA,DIF,1.700117
57212,NM,"GENEVA, IL",34064,8/19/2011,10390,3957,FIRST CHOICE BANK,"141,016.00",137215,FAILURE,PA,DIF,0.141016
57239,N,"STATESBORO, GA",22171,8/19/2011,10391,3958,FIRST SOUTHERN NATIONAL BANK,"164,599.00",159673,FAILURE,PA,DIF,0.164599
34130,SI,"HUNTINGDON VALLEY, PA",15828,8/18/2011,10389,3955,PUBLIC SAVINGS BANK,"46,818.00",45770,FAILURE,PA,DIF,0.046818
4744,N,"OLATHE, KS",103328,8/12/2011,10388,3954,THE FIRST NATIONAL BANK OF OLATHE,"538,091.00",524290,FAILURE,PA,DIF,0.538091
22528,SM,"COLFAX, WA",101311,8/5/2011,10387,3952,BANK OF WHITMAN,"548,570.00",515732,FAILURE,PA,DIF,0.54857
22637,NM,"SHOREWOOD, IL",29378,8/5/2011,10386,3953,BANK OF SHOREWOOD,"110,723.00",104021,FAILURE,PA,DIF,0.110723
4392,N,"EVANSVILLE, IN",30575,7/29/2011,10384,3949,INTEGRA BANK NATIONAL ASSOCIATION,"1,994,430.00",1693592,FAILURE,PA,DIF,1.99443
58222,N,"COLUMBIA, SC",49181,7/29/2011,10383,3950,"BANKMERIDIAN, N.A.","232,648.00",209737,FAILURE,PA,DIF,0.232648
58283,SM,"RICHMOND, VA",19851,7/29/2011,10385,3951,VIRGINIA BUSINESS BANK,"83,493.00",72955,FAILURE,PA,DIF,0.083493
2994,NM,"GREELEY, CO",135746,7/22/2011,10380,3946,BANK OF CHOICE,"954,106.00",818670,FAILURE,PA,DIF,0.954106
35244,SM,"SARASOTA, FL",37389,7/22/2011,10381,3947,LANDMARK BANK OF FLORIDA,"266,482.00",244362,FAILURE,PA,DIF,0.266482
58056,NM,"APOLLO BEACH, FL",11403,7/22/2011,10382,3948,SOUTHSHORE COMMUNITY BANK,"41,252.00",41434,FAILURE,PA,DIF,0.041252
19554,NM,"STOCKBRIDGE, GA",70772,7/15/2011,10377,3942,HIGH TRUST BANK,"180,340.00",177221,FAILURE,PA,DIF,0.18034
34870,NM,"PORT SAINT LUCIE, FL",13110,7/15/2011,10376,3943,FIRST PEOPLES BANK,"225,035.00",207621,FAILURE,PA,DIF,0.225035
57442,NM,"PRESCOTT, AZ",14868,7/15/2011,10379,3944,SUMMIT BANK,"73,066.00",67471,FAILURE,PA,DIF,0.073066
58238,NM,"ATLANTA, GA",40782,7/15/2011,10378,3945,ONE GEORGIA BANK,"177,715.00",158123,FAILURE,PA,DIF,0.177715
27935,SM,"CHICAGO, IL",193253,7/8/2011,10374,3939,FIRST CHICAGO BANK & TRUST,"896,864.00",830530,FAILURE,PA,DIF,0.896864
34522,NM,"CASTLE ROCK, CO",254944,7/8/2011,10373,3940,COLORADO CAPITAL BANK,"665,806.00",635202,FAILURE,PA,DIF,0.665806
57835,NM,"WINDSOR, CO",23311,7/8/2011,10375,3941,SIGNATURE  BANK,"62,518.00",60349,FAILURE,PA,DIF,0.062518
57593,NM,"CLAYTON, GA",34480,6/24/2011,10372,3938,MOUNTAIN HERITAGE BANK,"103,716.00",89554,FAILURE,PA,DIF,0.103716
19237,NM,"JACKSON, GA",75418,6/17/2011,10371,3936,MCINTOSH STATE BANK,"339,929.00",324403,FAILURE,PA,DIF,0.339929
