"Date","Price","Open","High","Low","Vol.","Change %"
6/1/2009,27.219999,27.57,31.82,26.629999,11288488,-1.27%
7/1/2009,35.25,27.68,36.460098,23.629999,13879992,27.35%
8/1/2009,39.75,36.240002,40.91,35.990002,10841115,9.69%
9/1/2009,43.27,39.279999,44.625,36.73,10759904,10.16%
10/1/2009,41.25,43.110001,45.830002,40.810001,13017176,-4.31%
11/1/2009,37.860001,41.41,43.34,36.52,19681878,-8.57%
12/1/2009,41.66,38.16,42.68,36.599998,11474951,9.17%
1/1/2010,43.389999,41.66,47.970001,41.66,12754201,4.15%
2/1/2010,44.560001,43.580002,44.849998,39.5,11201702,2.25%
3/1/2010,46.66,44.709999,48.709999,44.459999,9100992,4.36%
4/1/2010,49.18,47.009998,52.279999,46.25,9156916,4.62%
5/1/2010,44.860001,49.41,50.740002,41.810001,15266856,-9.21%
6/1/2010,41.23,44.5,45.740002,40.779999,10118160,-7.35%
7/1/2010,43.189999,41.099998,46.169998,38.259998,13168911,5.09%
8/1/2010,37.169998,43.950001,44.299999,36.720001,9726673,-15.43%
9/1/2010,42.32,37.869999,42.939999,37.66,8655984,11.75%
10/1/2010,43.34,42.619999,46.580002,41.48,10941761,1.69%
11/1/2010,44.93,43.490002,47.75,42.48,8042833,3.31%
12/1/2010,53.049999,45.790001,55.700001,45.790001,9927960,15.85%
1/1/2011,52.470001,53.43,56.68,51.470001,13696400,-1.80%
2/1/2011,54.18,53.119999,56.18,52.139999,7484631,2.00%
3/1/2011,56.93,54,57.990002,51.75,15937025,5.43%
4/1/2011,60.439999,57.209999,60.73,55.98,11582742,5.65%
5/1/2011,59.380001,60.48,60.654999,57.52,7851919,-1.82%
6/1/2011,59.709999,58.950001,60.299999,55.27,10174487,1.29%
7/1/2011,61.02,59.830002,63.398998,58.689999,10186077,1.99%
8/1/2011,46.080002,61.330002,61.650002,40.029999,18707408,-24.87%
9/1/2011,37,46.009998,46.41,35.700001,11985772,-19.58%
10/1/2011,45.939999,36.439999,49.150002,33.150002,18868699,26.07%
11/1/2011,47.040001,43.91,48.029999,41.029999,8103461,7.13%
12/1/2011,47.689999,46.66,49.130001,43.91,6399707,2.21%
